Length	Count	sample
34	4.0	jurkat100-1-5
36	0.0	jurkat100-1-5
38	6.0	jurkat100-1-5
40	2.0	jurkat100-1-5
42	0.0	jurkat100-1-5
44	10.0	jurkat100-1-5
46	10.0	jurkat100-1-5
48	20.0	jurkat100-1-5
50	24.0	jurkat100-1-5
52	26.0	jurkat100-1-5
54	52.0	jurkat100-1-5
56	69.0	jurkat100-1-5
58	46.0	jurkat100-1-5
60	79.0	jurkat100-1-5
62	93.0	jurkat100-1-5
64	131.0	jurkat100-1-5
66	82.0	jurkat100-1-5
68	118.0	jurkat100-1-5
70	122.0	jurkat100-1-5
72	192.0	jurkat100-1-5
74	212.0	jurkat100-1-5
76	161.0	jurkat100-1-5
78	218.0	jurkat100-1-5
80	248.0	jurkat100-1-5
82	304.0	jurkat100-1-5
84	305.0	jurkat100-1-5
86	367.0	jurkat100-1-5
88	401.0	jurkat100-1-5
90	464.0	jurkat100-1-5
92	394.0	jurkat100-1-5
94	662.0	jurkat100-1-5
96	4781.0	jurkat100-1-5
98	47115.0	jurkat100-1-5
100	98766.0	jurkat100-1-5
